f3cbf856-31e9-429a-819d-2bc0bf2b9c44 Testing_question 15-12 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agricultural_systems-S0308521X19301465-31 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agricultural_water_management-S0378377420314001-57 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy_for_sustainable_development-101007s1359301100251-27 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 irrigation_science-101007BF00208391-7 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 irrigation_science-101007BF00208398-9 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy_journal-102134agronj20029360-25 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agricultural_water_management-S0378377420321880-66 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy_journal-102134agronj199700021962008900020012x-7 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 plant_and_soil-101007s1110401214831-13 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 plant_and_soil-101007BF01347711-9 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 irrigation_science-101007s0027101705495-9 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 field_crops_research-S0378429016308371-149 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 20181916-34 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agricultural_water_management-S0378377406000825-69 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 irrigation_science-101007s002710100220x-14 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agricultural_water_management-S0378377418314070-30 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy-8070101-13 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 plant_and_soil-101007BF02143182-26 2
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy_for_sustainable_development-101007s1359301502834-231 1
c6d2aae7-621f-4348-b22c-c7df8563dbc5 Test50 agronomy_for_sustainable_development-101007s1359301502861-83 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 150703-28 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 20171821-21 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 201639-6 0
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 6830-21467-794 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 6830-21467-820 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 150703-87 1
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 agronomy_for_sustainable_development-101007s1359301604084-60 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 150703-159 2
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 6830-21465-42 1
7f5eda26-950d-4038-a3b9-d72e213cfed6 Test50 6830-21463-8 2
