d23dc832-2051-452f-a669-291b78180479,40-60 mm deficit compared to a  fallow
fb30edf4-8710-41cc-b5b5-5d5127c44956,"Yes, cover crops can store extra soil water when your fallows have little stubble, and there is enough time to accumulate water once the cover crop is removed"
2908ca52-0d00-4044-8773-9843e265a4f4,"Yes, cover crops can protect soils when stubble coevr is less than 30%. Cover crops can reduce erosion risk in these fallows by 82% to 99% depending on how much dry matter they produce "
263ba3cf-8a5e-4c7a-a611-7550ddf25dee,Cover crops left to grow for too long in southenr Queensland may lose 100 mm or more soil water for your next crop 
bb17d118-bc11-4b0d-87f0-2bf836cdc37e,"Well grown cover crops may result in stored water gains of up to 40 mm of extra soil water in southern Queensland when fallows have less than 30% cover. On average, they may stored and extra 17 mm of soil water"
c291cdb9-60ef-4047-8602-e1a0db067423,"It is best to spray munbenas for powdery mildew when its first seen. However, delays up to 1/3 of plants infected may be OK as long as a follwoup spray is used 14 days later"
77bccded-79cb-4524-9ae2-13bf5b06cbf0,"Ideally, apply fungicides when powdery mildew is first seen on mungbean crops"
90c2ab11-4796-4634-9b52-39a1b203b08f,Higher rates on nitrogen applied in Queensland grain cropping systems will reduce the rundown of nitrogen in our systems
0f0a4f68-4038-48a8-8e40-991d7998483e,"The way legumes are currently used, they will have little impact on the need for nitrogen fertiliser across a whole cropping sequence. This is because they are commonly grown on soil with adequate soil nitrogen, and so the legumes grow on the available nitrogen, may fix less than is traditionally expected when adeqaute soil nitrogen is present, and also export more niotrogen in their grain"
9c14e4d9-f73a-44f9-9c44-93db9890c3a4,"Yes, even in droughts there will be some, perhaps smaller, falls of rain that support mineralisation of nitrogen in the fallow. There is some eveidnce that this mineralisaed nitrogen still moves down the profile when adeqaute rainfall subsequently occurs. the subsequent rains will also lead to a surge of mineralisation as dead microbes are themselves mineralised"
82819792-27d9-433d-b613-a770ea7ff736,"Growing more crop will normally mean more fertilisers will be needed as the removal of nutrients in the grain will be higher. If fertiliser rates are matched to these greater needs, then soil improvements, including better soil organic matter can be expected. Conversely, growing less crops with longer fallows will mineralise more nitrogen and so reduce fertiliser needs in the short term, but deplete soil organic matter and increase long term fertiliser costs"
f496767f-a980-4ba1-9c7b-8eff7be5070b,"No, recent long-term research showns that if the season turns dry, then most of the excess nitrogen applied is retained in the soil, often lower in the profile away from denitrification risks, and so available for subsequent years when it can make a big difference to yields and profitability"
ad232ab5-fb57-450d-9ebd-09d795065d7d,Deep placement of P can increase sorghum yield
ef4bacea-107f-42c0-b6d0-29d87ca9c8cf,Foliar nitrogen application does not increase chickpea yield for late season planted chikpeas when applied at flowering stage.
ec660d9c-cb0f-4281-88d8-1644081f7c79,"When seasonal conditions are favourable (higher rainfall), and plants can aquire nutrients from the surface of the profile, deep placement of potassium and phosphorus may not lead to yield benefits."
cf27bcd0-4692-4984-8b65-33fc618226a8,Some studies have found a narrower row spacing (25-50 cm) increases yield by 10-20% where crops achieve yields of 1-1.5 t/ha.
6977ba14-7cef-4b5d-b9cf-283f811d6d11,Later sowing time in chickpea can reduce yield when in-crop rainfall is low and water availability limits flowering and fruit set.
127e57df-7d86-48b3-9229-cf27b45ba08a,"If there are good levels of phosphorus in the surface soil and the surface soil remains wet to allow root access to surface layers, wheat yields can be maintained. "
212bfc25-eee0-4cac-b62f-3338890c3808,Late sowing can decrease wheat yield due to heat stress.
3432029e-9dd1-42bf-bc48-5205ca728059,"Some studies have shown that in central Queensland, genotypes with later flowering dates have reduced yield when flowering coincides with heat and moisture stress."
4f04e456-14ce-43b1-b510-4ff5103aa4c3,Some studies have found that increasing nutrient supply from a moderate to high rate will not improve yield or profitability if the plant suffers from heat stress and terminal drought.
2031dca5-1385-4685-aadd-8bd160aab8b1,"Terbyne, Xtreme and Group G knockdown herbicides are most effective against sowthistle."
69088570-ebdf-4a41-952a-5e87d2c5311a,Some studies have shown residucal herbicides can control weeds for up to 167 days during a fallow.
3eb7d12e-7b78-4db9-9a2c-79029db98dce,Some studies have found that a more diverse crop rotation can significantly reduce nematode populations.
d1c8518a-56e5-4d26-b276-5bc8643a0150,"Earlier sowing so that flheat stress is avaoided during grain fill can increase yield, providing that frost doesn't impact plant growth."
3bbd4cde-8a07-4285-a9c1-b77c328434a2,"ABYG germinates at multiple times over a season, typically after storm rain."
7d874bfb-4361-4da6-9317-a1d41f66b9fd,Quick maturing spring wheats have performed better than longer season varieties in central Queensland.
62482ef9-c21a-4f71-b8b3-bf6f3953eda9,Some studies have shown that combinations of two different groups of herbicides results in better weed control.
1d1ecb2c-2856-4527-83ac-23a79b1b6365,Some studies have found that there is no financial difference between long-fallowing and double cropping when changing between winter and summer crops.
e37d3688-a676-4d29-98a8-5cbdd07643e8,"When phosphorus is deficient, deep placement will be profitable providing other constraints (e.g. nitrogen and potassium deficiency) do not limit plant growth."
955130f6-97db-41d1-9b14-c6cd2505d32f,Some research has shown that incorporating alternative crops (eg canola and durum wheat) into rotations can decdrease nematode populations and increase grain yield.
b41c6e33-dd45-4d00-bfd7-89e8a4b5f2ca,Studies have indicated that combinations of herbicides with different modes of action can provide better control of broadleaf weeds. 
eaf5ec37-fb28-4e65-9289-481513ab6f64,Some research has found that earlier planting leads to an increase in sorghum yield.
9179392d-9c08-40e6-a058-7da154d1d186,"Regardless of variety, it is important to target the optimum flowering period to maximise yield."
737c62b4-7288-43d0-8f97-44a07cdcec65,Deep placement of phosphorus has consistently increased cereal yields in central and southern Queensland.
